,CMPLNT_FR_TM,RPT_DT,OFNS_DESC,BORO_NM,Lat_Lon
5405849,15:00:00,04/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.725697698, -73.988239878)"
5409117,10:27:00,05/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.5580167, -74.130417978)"
5409217,05:25:00,05/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.654952417, -73.958000222)"
5411273,22:09:00,05/12/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.637223031, -73.912627224)"
5412817,22:50:00,05/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.841694933, -73.911108193)"
5412965,19:02:00,05/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.868587481, -73.883311681)"
5413628,05:05:00,05/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.818413984, -73.907277131)"
5415811,20:40:00,05/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.857082062, -73.901352508)"
5417809,02:28:00,05/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.671411663, -73.881511724)"
5417922,00:43:00,05/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.689491039, -73.908018925)"
5418261,23:15:00,05/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.817755155, -73.91801901)"
5419527,21:13:00,05/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.696979876, -73.792740591)"
5424257,10:00:00,05/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.836678228, -73.915596087)"
5425507,10:22:00,05/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.578510134, -73.934900975)"
5429019,10:30:00,04/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.663996333, -73.893848712)"
5430502,04:14:00,04/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.861063085, -73.893447414)"
5431153,22:00:00,04/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.820411063, -73.893331855)"
5432400,18:58:00,04/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.834571799, -73.88831495)"
5432943,11:49:00,04/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.699837274, -73.913089739)"
5435414,15:08:00,04/24/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.872845399, -73.898794425)"
5436852,06:44:00,04/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.835577917, -73.908803531)"
5439364,15:22:00,04/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.689097532, -73.925616087)"
5441944,22:40:00,04/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.686082215, -73.919233753)"
5442736,01:03:00,04/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.869588539, -73.900050398)"
5444043,06:17:00,04/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.847688805, -73.934930327)"
5444749,22:32:00,04/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.816366145, -73.867626311)"
5445507,02:11:00,04/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.801392386, -73.93271089)"
5446555,05:45:00,04/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.703499897, -73.767495386)"
5448105,01:00:00,04/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.740824511, -73.974260858)"
5448147,00:02:00,04/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.833450977, -73.943407506)"
5448702,22:44:00,04/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.727606514, -73.97781979)"
5449456,02:34:00,04/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.636818967, -74.118653127)"
5450095,22:55:00,04/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.665114176, -73.891673378)"
5452370,01:15:00,04/12/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.783898154, -73.950285241)"
5455142,00:05:00,04/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.816068266, -73.908552085)"
5456170,03:03:00,04/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.739095849, -73.896774703)"
5456797,22:13:00,04/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.857418359, -73.893706303)"
5462640,09:10:00,04/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.661821983, -73.996479956)"
5463518,02:58:00,03/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.811112268, -73.906344446)"
5463834,05:50:00,04/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.658196944, -73.958538808)"
5465657,23:40:00,04/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.574825477, -73.99092661)"
5466097,14:10:00,04/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.725980641, -73.990801407)"
5470272,18:19:00,03/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.527675213, -74.230216009)"
5473432,05:30:00,03/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.835718483, -73.851303959)"
5474949,16:45:00,03/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.796341237, -73.941199816)"
5476139,18:11:00,03/24/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.633486765, -74.163427185)"
5476140,18:11:00,03/24/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.633486765, -74.163427185)"
5476209,17:07:00,03/24/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.67432526, -73.888388621)"
5477953,07:50:00,03/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.812190348, -73.924206908)"
5483073,01:50:00,03/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.673567652, -73.807384888)"
5484934,21:00:00,03/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.811446464, -73.916184409)"
5485340,15:00:00,03/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.823180032, -73.866536043)"
5486324,20:53:00,03/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.802620306, -73.951087574)"
5486379,19:44:00,03/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.766406832, -73.968377423)"
